Entity,Code,Day,vaccinated people(per hundards),Willing to get  vaccinate,uncertain to get  vaccinate,Unwilling to get  vaccinate
Australia,AUS,15/3/2021,0.71,51.77,19.8,27.72
Australia,AUS,15/4/2021,4.82,43.73,20.13,31.32
Australia,AUS,15/5/2021,10.7,37.45,20.71,31.14
Australia,AUS,15/6/2021,20,32.64,18.91,28.45
Australia,AUS,15/7/2021,27.57,31.04,15.7,25.69
Australia,AUS,15/8/2021,38.41,28.97,14.2,18.42
Australia,AUS,15/9/2021,56.2,17.03,9.19,17.58
Australia,AUS,15/10/2021,70.26,7.72,5.25,16.77
Australia,AUS,15/11/2021,76.03,3.72,4.91,15.34
Australia,AUS,15/12/2021,78.6,2.57,3.81,15.02
Australia,AUS,15/1/2022,81.07,3.31,2.56,13.06
Australia,AUS,15/2/2022,85.05,1.61,2.26,11.08
Canada,CAN,15/12/2020,0,48.85,19.8,31.35
Canada,CAN,15/1/2021,1.3,54.78,15.71,28.21
Canada,CAN,15/2/2021,2.6,54.12,15.82,27.46
Canada,CAN,15/3/2021,6.78,55.85,13.11,24.26
Canada,CAN,15/4/2021,22.07,41.8,11.68,24.45
Canada,CAN,15/5/2021,44.16,23.03,9.49,23.32
Canada,CAN,15/6/2021,65.17,8.25,6.52,20.06
Canada,CAN,15/7/2021,69.61,3.98,7.96,18.45
Canada,CAN,15/8/2021,72.19,3.91,6.79,17.11
Canada,CAN,15/9/2021,74.85,3.27,4.27,17.61
Canada,CAN,15/10/2021,77.53,2.3,3.49,16.68
Canada,CAN,15/11/2021,78.86,2.07,3.16,15.91
Canada,CAN,15/12/2021,82.17,2.66,2.65,12.52
Canada,CAN,15/1/2022,84.16,2.27,2.6,10.97
Canada,CAN,15/2/2022,85.35,1.04,1.64,11.97
Denmark,DNK,15/12/2020,0,53.15,16.38,30.47
Denmark,DNK,15/1/2021,2.54,64.02,15.19,18.25
Denmark,DNK,15/2/2021,3.96,69.12,10.43,16.49
Denmark,DNK,15/3/2021,9.63,58.45,11.5,20.42
Denmark,DNK,15/4/2021,17.01,55.4,9.75,17.84
Denmark,DNK,15/5/2021,27.7,41.83,11.65,18.82
Denmark,DNK,15/6/2021,48.28,26.5,10.43,14.79
Denmark,DNK,15/7/2021,65.68,11.88,5.68,16.76
Denmark,DNK,15/8/2021,74.09,4.03,5.38,16.5
Denmark,DNK,15/9/2021,75.97,3.3,4.09,16.64
Denmark,DNK,15/10/2021,76.53,2.75,3.24,17.48
Denmark,DNK,15/11/2021,77.59,1.91,2.98,17.52
Denmark,DNK,15/12/2021,80.78,2.38,2.16,14.68
Denmark,DNK,15/1/2022,83.06,0.6,2.64,13.7
France,FRA,15/1/2021,0.63,35.39,17.45,46.53
France,FRA,15/2/2021,3.66,39.23,14.67,42.44
France,FRA,15/3/2021,8.27,36.76,15.29,39.68
France,FRA,15/4/2021,18.37,31.52,14.47,35.64
France,FRA,15/5/2021,30.66,23.29,12.77,33.28
France,FRA,15/6/2021,46.65,8.88,9.77,34.7
France,FRA,15/7/2021,55.57,7.73,7.51,29.19
France,FRA,15/8/2021,69.51,3.54,4.29,22.66
France,FRA,15/9/2021,74.56,2.05,3.8,19.59
France,FRA,15/10/2021,76.24,2.46,1.91,19.39
France,FRA,15/11/2021,77.23,1.98,2.03,18.76
France,FRA,15/12/2021,78.21,1.87,2.09,17.83
France,FRA,15/1/2022,79.41,2.02,2.74,15.83
France,FRA,15/2/2022,79.98,1.69,1.23,17.1
Germany,DEU,15/1/2021,1.33,51.32,16.63,30.72
Germany,DEU,15/2/2021,3.4,57.4,13.35,25.85
Germany,DEU,15/3/2021,8.23,53.51,13.28,24.98
Germany,DEU,15/4/2021,18.53,47.23,12.85,21.39
Germany,DEU,15/5/2021,36.79,33.04,10.86,19.31
Germany,DEU,15/6/2021,49.18,19.06,8.87,22.89
Germany,DEU,15/7/2021,59.58,8.3,8.07,24.05
Germany,DEU,15/8/2021,63.12,6.26,6.69,23.93
Germany,DEU,15/9/2021,66.48,4.2,5.38,23.94
Germany,DEU,15/10/2021,68.38,3.15,4.93,23.54
Germany,DEU,15/11/2021,69.67,2.29,5.33,22.71
Germany,DEU,15/12/2021,72.5,3.29,4.18,20.03
Germany,DEU,15/1/2022,74.5,2.29,3.67,19.54
Germany,DEU,15/2/2022,75.51,1.94,3.29,19.26
Italy,ITA,15/1/2021,1.87,54.24,17.66,26.23
Italy,ITA,15/2/2021,3.02,58.91,15.67,22.4
Italy,ITA,15/3/2021,8.25,53.69,13.24,24.82
Italy,ITA,15/4/2021,17.11,47.47,12.04,23.38
Italy,ITA,15/5/2021,31.62,38.59,10.49,19.3
Italy,ITA,15/6/2021,50.15,22.41,9.4,18.04
Italy,ITA,15/7/2021,60.33,10.41,9.28,19.98
Italy,ITA,15/8/2021,67.63,7.18,6.44,18.75
Italy,ITA,15/9/2021,73.02,4.26,5.19,17.53
Italy,ITA,15/10/2021,76.51,2.49,3.22,17.78
Italy,ITA,15/11/2021,77.73,2.36,3.94,15.97
Italy,ITA,15/12/2021,79.12,2.34,1.92,16.62
Italy,ITA,15/1/2022,81.86,2.83,1.99,13.32
Italy,ITA,15/2/2022,83.71,2.58,1.59,12.12
Japan,JPN,15/3/2021,0.22,53.28,25.07,21.43
Japan,JPN,15/4/2021,0.95,55.51,24.04,19.5
Japan,JPN,15/5/2021,4.24,58.13,21.82,15.81
Japan,JPN,15/6/2021,18.26,49.23,18.54,13.97
Japan,JPN,15/7/2021,34.77,36.56,15.13,13.54
Japan,JPN,15/8/2021,49.73,28.25,9.97,12.05
Japan,JPN,15/9/2021,65.17,14.84,8.22,11.77
Japan,JPN,15/10/2021,75.05,4.91,5.88,14.16
Japan,JPN,15/11/2021,78.78,3.41,5.62,12.19
Japan,JPN,15/12/2021,79.42,2.3,5.82,12.46
Japan,JPN,15/1/2022,80.26,2.63,4.21,12.9
Japan,JPN,15/2/2022,80.56,1.53,5.14,12.77
Netherlands,NLD,15/1/2021,0.2,61.61,18.05,20.14
Netherlands,NLD,15/2/2021,4.02,58.65,16.81,20.52
Netherlands,NLD,15/9/2021,73.8,3.23,3.59,19.38
Netherlands,NLD,15/10/2021,75.23,2.21,2.03,20.53
Netherlands,NLD,15/11/2021,76.69,2.18,1.84,19.29
Netherlands,NLD,15/12/2021,77.41,1.96,2.67,17.96
Netherlands,NLD,15/1/2022,77.74,2.59,1.72,17.95
Netherlands,NLD,15/2/2022,78.28,1.74,2.22,17.76
Norway,NOR,15/12/2020,0,45.7,21.8,32.5
Norway,NOR,15/1/2021,0.95,54.89,17.91,26.25
Norway,NOR,15/2/2021,4.44,56.83,13.93,24.8
Norway,NOR,15/3/2021,8.44,52.53,13.01,26.02
Norway,NOR,15/4/2021,19.33,47.15,11.05,22.47
Norway,NOR,15/5/2021,29.41,38.23,12.27,20.09
Norway,NOR,15/6/2021,37.32,31.25,9.78,21.65
Norway,NOR,15/7/2021,59.05,13.43,7.37,20.15
Norway,NOR,15/8/2021,69.33,6.41,4.82,19.44
Singapore,SGP,15/1/2021,0.38,36.22,34.78,28.62
Singapore,SGP,15/2/2021,4.05,45.55,29.53,20.87
Singapore,SGP,15/3/2021,9.83,45.33,25.1,19.74
Singapore,SGP,15/4/2021,23.58,37.47,20.5,18.45
Singapore,SGP,15/5/2021,34.76,31.94,17.55,15.75
Singapore,SGP,15/6/2021,49.41,26.79,12.33,11.47
Singapore,SGP,15/7/2021,75.09,6.81,9.02,9.08
Singapore,SGP,15/8/2021,81.56,3.18,7.17,8.09
South Korea,KOR,15/3/2021,1.23,48.34,27.5,22.93
South Korea,KOR,15/4/2021,2.8,47.51,26.75,22.94
South Korea,KOR,15/5/2021,7.45,41.12,28.55,22.88
South Korea,KOR,15/6/2021,26.07,38.41,20.1,15.42
South Korea,KOR,15/7/2021,31.42,36.18,18.57,13.83
South Korea,KOR,15/8/2021,44.02,26.72,16.84,12.42
South Korea,KOR,15/9/2021,68.54,10.24,8.17,13.05
Spain,ESP,15/1/2021,1.64,51.88,20.93,25.55
Spain,ESP,15/2/2021,3.27,53.26,19.02,24.45
Spain,ESP,15/3/2021,8.45,49.24,18.01,24.3
Spain,ESP,15/4/2021,18.47,43.77,17.32,20.44
Spain,ESP,15/5/2021,31.9,35.19,13.87,19.04
Spain,ESP,15/6/2021,47.17,25.1,12,15.73
Spain,ESP,15/7/2021,62.11,15.71,8,14.18
Spain,ESP,15/8/2021,74.27,5.9,6.15,13.68
Spain,ESP,15/9/2021,79.88,3.78,3.65,12.69
Spain,ESP,15/10/2021,81.01,1.95,3.25,13.79
Spain,ESP,15/11/2021,81.66,2.52,2.98,12.84
Spain,ESP,15/12/2021,82.55,2.73,2.49,12.23
Spain,ESP,15/1/2022,86.25,1.95,1.58,10.22
Spain,ESP,15/2/2022,87.75,1.7,1.33,9.22
Sweden,SWE,15/2/2021,3.54,59.62,12.21,24.63
Sweden,SWE,15/3/2021,8.4,56.7,11.18,23.72
Sweden,SWE,15/4/2021,15.18,48.24,12.43,24.15
Sweden,SWE,15/5/2021,30.16,37.29,10.19,22.36
Sweden,SWE,15/6/2021,42.06,27.66,8.35,21.93
Sweden,SWE,15/7/2021,55.74,12.54,8.23,23.49
Sweden,SWE,15/8/2021,65.32,6.35,5.84,22.49
Sweden,SWE,15/9/2021,68.66,4.13,5.75,21.46
United Kingdom,GBR,15/1/2021,5.24,74,7.95,12.81
United Kingdom,GBR,15/2/2021,22.84,58.89,6.78,11.49
United Kingdom,GBR,15/3/2021,36.42,42.91,6.57,14.1
United Kingdom,GBR,15/4/2021,47.76,35.13,4.22,12.89
United Kingdom,GBR,15/5/2021,53.62,28.75,4.54,13.09
United Kingdom,GBR,15/6/2021,61.61,11.75,5.27,21.37
United Kingdom,GBR,15/7/2021,67.67,4.81,6.02,21.5
United Kingdom,GBR,15/8/2021,69.4,3.43,5.63,21.54
United Kingdom,GBR,15/9/2021,71.11,2.74,4.25,21.9
United Kingdom,GBR,15/10/2021,72.39,2.53,4.2,20.88
United Kingdom,GBR,15/11/2021,74.21,3.4,2.83,19.56
United Kingdom,GBR,15/12/2021,75.3,2.57,3.05,19.08
United Kingdom,GBR,15/1/2022,76.39,1.58,2.88,19.15
United Kingdom,GBR,15/2/2022,77.02,3.03,2.85,17.1
United States,USA,15/2/2021,13.28,40.91,13.1,32.71
United States,USA,15/3/2021,23.98,32.54,13.76,29.72
United States,USA,15/4/2021,40.91,20.41,9.3,29.38
United States,USA,15/5/2021,49.05,11.73,10.87,28.35
United States,USA,15/6/2021,53.77,7.67,7.3,31.26
United States,USA,15/7/2021,56.16,7.32,8.35,28.17
United States,USA,15/8/2021,60.05,7.21,8.99,23.75
United States,USA,15/9/2021,63.49,6.62,6.21,23.68
United States,USA,15/10/2021,65.64,3.77,5.17,25.42
